epoch (ms),time (03:00),elapsed (s),w (number),x (number),y (number), z (number)
1597051814295,2020-08-10T12.30.14.295,0.000,0.999,-0.032,-0.040,0.000
1597051814305,2020-08-10T12.30.14.305,0.010,0.999,-0.032,-0.040,0.000
1597051814315,2020-08-10T12.30.14.315,0.020,0.999,-0.032,-0.040,0.000
1597051814325,2020-08-10T12.30.14.325,0.030,0.999,-0.032,-0.040,0.000
1597051814336,2020-08-10T12.30.14.336,0.041,0.999,-0.032,-0.040,0.000
1597051814345,2020-08-10T12.30.14.345,0.050,0.999,-0.032,-0.040,0.000
1597051814355,2020-08-10T12.30.14.355,0.060,0.999,-0.032,-0.040,0.000
1597051814365,2020-08-10T12.30.14.365,0.070,0.999,-0.032,-0.040,0.000
1597051814375,2020-08-10T12.30.14.375,0.080,0.999,-0.032,-0.040,0.000
1597051814386,2020-08-10T12.30.14.386,0.091,0.999,-0.032,-0.040,0.000
1597051814394,2020-08-10T12.30.14.394,0.099,0.999,-0.032,-0.040,0.000
1597051814405,2020-08-10T12.30.14.405,0.110,0.999,-0.032,-0.040,0.000
1597051814415,2020-08-10T12.30.14.415,0.120,0.999,-0.032,-0.040,0.000
1597051814425,2020-08-10T12.30.14.425,0.130,0.999,-0.032,-0.040,0.000
1597051814435,2020-08-10T12.30.14.435,0.140,0.999,-0.032,-0.040,0.000
1597051814444,2020-08-10T12.30.14.444,0.149,0.999,-0.032,-0.040,0.000
1597051814454,2020-08-10T12.30.14.454,0.159,0.999,-0.032,-0.040,0.000
1597051814465,2020-08-10T12.30.14.465,0.170,0.999,-0.032,-0.040,0.000
1597051814475,2020-08-10T12.30.14.475,0.180,0.999,-0.032,-0.040,0.000
1597051814485,2020-08-10T12.30.14.485,0.190,0.999,-0.032,-0.040,0.000
1597051814495,2020-08-10T12.30.14.495,0.200,0.999,-0.032,-0.040,0.000
1597051814504,2020-08-10T12.30.14.504,0.209,0.999,-0.032,-0.040,0.000
1597051814514,2020-08-10T12.30.14.514,0.219,0.999,-0.032,-0.040,0.000
1597051814525,2020-08-10T12.30.14.525,0.230,0.999,-0.032,-0.040,0.000
1597051814535,2020-08-10T12.30.14.535,0.240,0.999,-0.032,-0.040,0.000
1597051814545,2020-08-10T12.30.14.545,0.250,0.999,-0.032,-0.040,0.000
1597051814554,2020-08-10T12.30.14.554,0.259,0.999,-0.032,-0.040,0.000
1597051814564,2020-08-10T12.30.14.564,0.269,0.999,-0.032,-0.040,0.000
1597051814575,2020-08-10T12.30.14.575,0.280,0.999,-0.032,-0.040,0.000
1597051814585,2020-08-10T12.30.14.585,0.290,0.999,-0.032,-0.040,0.000
1597051814595,2020-08-10T12.30.14.595,0.300,0.999,-0.032,-0.040,0.000
1597051814604,2020-08-10T12.30.14.604,0.309,0.999,-0.032,-0.040,0.000
1597051814614,2020-08-10T12.30.14.614,0.319,0.999,-0.032,-0.040,0.000
1597051814624,2020-08-10T12.30.14.624,0.329,0.999,-0.032,-0.040,0.000
1597051814635,2020-08-10T12.30.14.635,0.340,0.999,-0.032,-0.040,0.000
1597051814645,2020-08-10T12.30.14.645,0.350,0.999,-0.032,-0.040,0.000
1597051814654,2020-08-10T12.30.14.654,0.359,0.999,-0.032,-0.040,0.000
1597051814664,2020-08-10T12.30.14.664,0.369,0.999,-0.032,-0.040,0.000
1597051814674,2020-08-10T12.30.14.674,0.379,0.999,-0.032,-0.040,0.000
1597051814684,2020-08-10T12.30.14.684,0.389,0.999,-0.032,-0.040,0.000
1597051814695,2020-08-10T12.30.14.695,0.400,0.999,-0.032,-0.040,0.000
1597051814703,2020-08-10T12.30.14.703,0.408,0.999,-0.032,-0.040,0.000
1597051814714,2020-08-10T12.30.14.714,0.419,0.999,-0.032,-0.040,0.000
1597051814724,2020-08-10T12.30.14.724,0.429,0.999,-0.032,-0.040,0.000
1597051814734,2020-08-10T12.30.14.734,0.439,0.999,-0.032,-0.040,0.000
1597051814744,2020-08-10T12.30.14.744,0.449,0.999,-0.032,-0.040,0.000
1597051814753,2020-08-10T12.30.14.753,0.458,0.999,-0.032,-0.040,0.000
1597051814763,2020-08-10T12.30.14.763,0.468,0.999,-0.032,-0.040,0.000
1597051814774,2020-08-10T12.30.14.774,0.479,0.999,-0.032,-0.040,0.000
1597051814784,2020-08-10T12.30.14.784,0.489,0.999,-0.032,-0.040,0.000
1597051814794,2020-08-10T12.30.14.794,0.499,0.999,-0.032,-0.040,0.000
1597051814803,2020-08-10T12.30.14.803,0.508,0.999,-0.032,-0.040,0.000
1597051814813,2020-08-10T12.30.14.813,0.518,0.999,-0.032,-0.040,0.000
1597051814824,2020-08-10T12.30.14.824,0.529,0.999,-0.032,-0.040,0.000
1597051814834,2020-08-10T12.30.14.834,0.539,0.999,-0.032,-0.040,0.000
1597051814844,2020-08-10T12.30.14.844,0.549,0.999,-0.032,-0.040,0.000
1597051814854,2020-08-10T12.30.14.854,0.559,0.999,-0.032,-0.040,0.000
1597051814863,2020-08-10T12.30.14.863,0.568,0.999,-0.032,-0.040,0.000
1597051814873,2020-08-10T12.30.14.873,0.578,0.999,-0.032,-0.040,0.000
1597051814884,2020-08-10T12.30.14.884,0.589,0.999,-0.032,-0.040,0.000
1597051814894,2020-08-10T12.30.14.894,0.599,0.999,-0.032,-0.040,0.000
1597051814904,2020-08-10T12.30.14.904,0.609,0.999,-0.032,-0.040,0.000
1597051814913,2020-08-10T12.30.14.913,0.618,0.999,-0.032,-0.040,0.000
1597051814923,2020-08-10T12.30.14.923,0.628,0.999,-0.032,-0.040,0.000
1597051814933,2020-08-10T12.30.14.933,0.638,0.999,-0.032,-0.040,0.000
1597051814944,2020-08-10T12.30.14.944,0.649,0.999,-0.032,-0.040,0.000
1597051814954,2020-08-10T12.30.14.954,0.659,0.999,-0.032,-0.040,0.000
1597051814963,2020-08-10T12.30.14.963,0.668,0.999,-0.032,-0.040,0.000
1597051814973,2020-08-10T12.30.14.973,0.678,0.999,-0.032,-0.040,0.000
1597051814983,2020-08-10T12.30.14.983,0.688,0.999,-0.032,-0.040,0.000
1597051814993,2020-08-10T12.30.14.993,0.698,0.999,-0.032,-0.040,0.000
1597051815004,2020-08-10T12.30.15.004,0.709,0.999,-0.032,-0.040,0.000
1597051815012,2020-08-10T12.30.15.012,0.717,0.999,-0.032,-0.040,0.000
1597051815023,2020-08-10T12.30.15.023,0.728,0.999,-0.032,-0.040,0.000
1597051815033,2020-08-10T12.30.15.033,0.738,0.999,-0.032,-0.040,0.000
1597051815043,2020-08-10T12.30.15.043,0.748,0.999,-0.032,-0.040,0.000
1597051815054,2020-08-10T12.30.15.054,0.759,0.999,-0.032,-0.040,0.000
1597051815062,2020-08-10T12.30.15.062,0.767,0.999,-0.032,-0.040,0.000
1597051815073,2020-08-10T12.30.15.073,0.778,0.999,-0.032,-0.040,0.000
1597051815083,2020-08-10T12.30.15.083,0.788,0.999,-0.032,-0.040,0.000
1597051815093,2020-08-10T12.30.15.093,0.798,0.999,-0.032,-0.040,0.000
1597051815103,2020-08-10T12.30.15.103,0.808,0.999,-0.032,-0.040,0.000
1597051815112,2020-08-10T12.30.15.112,0.817,0.999,-0.032,-0.040,0.000
1597051815122,2020-08-10T12.30.15.122,0.827,0.999,-0.032,-0.040,0.000
1597051815133,2020-08-10T12.30.15.133,0.838,0.999,-0.032,-0.040,0.000
1597051815143,2020-08-10T12.30.15.143,0.848,0.999,-0.032,-0.040,0.000
1597051815153,2020-08-10T12.30.15.153,0.858,0.999,-0.032,-0.040,0.000
1597051815162,2020-08-10T12.30.15.162,0.867,0.999,-0.032,-0.040,0.000
1597051815172,2020-08-10T12.30.15.172,0.877,0.999,-0.032,-0.040,0.000
1597051815182,2020-08-10T12.30.15.182,0.887,0.999,-0.032,-0.040,0.000
