{epoch: 1605184459155, value: {voltage : 3889, charge : 65}}
{epoch: 1605184459211, value: {x : 0.024, y : -0.032, z : 0.956}}
{epoch: 1605184459221, value: {x : 0.025, y : -0.031, z : 0.961}}
{epoch: 1605184459232, value: {x : 0.024, y : -0.031, z : 0.960}}
{epoch: 1605184459242, value: {x : 0.025, y : -0.031, z : 0.963}}
{epoch: 1605184459251, value: {x : 0.025, y : -0.029, z : 0.963}}
{epoch: 1605184459261, value: {x : 0.026, y : -0.031, z : 0.964}}
{epoch: 1605184459271, value: {x : 0.027, y : -0.033, z : 0.961}}
{epoch: 1605184459281, value: {x : 0.026, y : -0.033, z : 0.961}}
{epoch: 1605184459290, value: {x : 0.025, y : -0.032, z : 0.961}}
{epoch: 1605184459300, value: {x : 0.025, y : -0.029, z : 0.963}}
{epoch: 1605184459311, value: {x : 0.024, y : -0.030, z : 0.962}}
{epoch: 1605184459319, value: {x : 0.025, y : -0.033, z : 0.961}}
{epoch: 1605184459330, value: {x : 0.026, y : -0.035, z : 0.962}}
{epoch: 1605184459340, value: {x : 0.025, y : -0.033, z : 0.963}}
{epoch: 1605184459350, value: {x : 0.027, y : -0.032, z : 0.962}}
{epoch: 1605184459359, value: {x : 0.028, y : -0.030, z : 0.964}}
{epoch: 1605184459369, value: {x : 0.026, y : -0.031, z : 0.961}}
{epoch: 1605184459379, value: {x : 0.024, y : -0.032, z : 0.962}}
{epoch: 1605184459390, value: {x : 0.025, y : -0.030, z : 0.961}}
{epoch: 1605184459398, value: {x : 0.026, y : -0.032, z : 0.963}}
{epoch: 1605184459409, value: {x : 0.027, y : -0.033, z : 0.961}}
{epoch: 1605184459419, value: {x : 0.025, y : -0.031, z : 0.962}}
{epoch: 1605184459429, value: {x : 0.025, y : -0.029, z : 0.963}}
{epoch: 1605184459438, value: {x : 0.026, y : -0.032, z : 0.960}}
{epoch: 1605184459448, value: {x : 0.026, y : -0.033, z : 0.961}}
{epoch: 1605184459459, value: {x : 0.026, y : -0.031, z : 0.960}}
{epoch: 1605184459469, value: {x : 0.025, y : -0.032, z : 0.962}}
{epoch: 1605184459478, value: {x : 0.025, y : -0.031, z : 0.962}}
{epoch: 1605184459488, value: {x : 0.025, y : -0.032, z : 0.960}}
{epoch: 1605184459498, value: {x : 0.024, y : -0.030, z : 0.960}}
{epoch: 1605184459508, value: {x : 0.026, y : -0.031, z : 0.962}}
{epoch: 1605184459517, value: {x : 0.027, y : -0.032, z : 0.963}}
{epoch: 1605184459527, value: {x : 0.025, y : -0.033, z : 0.964}}
{epoch: 1605184459538, value: {x : 0.025, y : -0.030, z : 0.964}}
{epoch: 1605184459546, value: {x : 0.025, y : -0.034, z : 0.961}}
{epoch: 1605184459557, value: {x : 0.026, y : -0.030, z : 0.961}}
{epoch: 1605184459567, value: {x : 0.024, y : -0.031, z : 0.962}}
{epoch: 1605184459577, value: {x : 0.026, y : -0.032, z : 0.962}}
{epoch: 1605184459586, value: {x : 0.026, y : -0.034, z : 0.962}}
{epoch: 1605184459596, value: {x : 0.027, y : -0.031, z : 0.964}}
{epoch: 1605184459607, value: {x : 0.028, y : -0.032, z : 0.962}}
{epoch: 1605184459617, value: {x : 0.027, y : -0.033, z : 0.963}}
{epoch: 1605184459626, value: {x : 0.026, y : -0.031, z : 0.960}}
{epoch: 1605184459636, value: {x : 0.026, y : -0.032, z : 0.960}}
{epoch: 1605184459646, value: {x : 0.026, y : -0.031, z : 0.962}}
{epoch: 1605184459656, value: {x : 0.024, y : -0.030, z : 0.962}}
{epoch: 1605184459665, value: {x : 0.025, y : -0.030, z : 0.961}}
{epoch: 1605184459675, value: {x : 0.025, y : -0.030, z : 0.961}}
{epoch: 1605184459686, value: {x : 0.024, y : -0.032, z : 0.963}}
{epoch: 1605184459696, value: {x : 0.025, y : -0.032, z : 0.962}}
{epoch: 1605184459705, value: {x : 0.024, y : -0.030, z : 0.962}}
{epoch: 1605184459715, value: {x : 0.025, y : -0.032, z : 0.964}}
{epoch: 1605184459725, value: {x : 0.025, y : -0.032, z : 0.961}}
{epoch: 1605184459735, value: {x : 0.024, y : -0.032, z : 0.960}}
{epoch: 1605184459744, value: {x : 0.023, y : -0.032, z : 0.961}}
{epoch: 1605184459754, value: {x : 0.025, y : -0.033, z : 0.961}}
{epoch: 1605184459765, value: {x : 0.025, y : -0.033, z : 0.962}}
{epoch: 1605184459773, value: {x : 0.026, y : -0.033, z : 0.961}}
{epoch: 1605184459784, value: {x : 0.026, y : -0.032, z : 0.963}}
{epoch: 1605184459794, value: {x : 0.025, y : -0.031, z : 0.961}}
